id,study_id,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft
2,2,change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Morris variance estimator),r = 0.7 if not possible to recalculate,reference to Becker 1988 and Morris 2008,randomized and nonrandomized trials included; ROB-2 (RCT) and ROBINS-I (non-RCT) for bias assessment.,"very detailed explanation of the effect size calculation methods including formulas for point and variance estimate. Sensitivity analysis were performed for r = 0.1, 0.2, ..., 0.9. Data and code available!",Simao et al. 2011 (20 out of 36 from Fig 4),change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Becker variance estimator),r = 0.7,"MA used a different variance estimator than the one given in the article as a formula. I could perfectly recalculate the ES point estimate, but not the forest plot CI, because the aggregation procedure of the 3-level MA seems to change the variance estimates. But using the script, I could fully reproduce the originally calculated ES variance.",SN,25.07.2025 10:01,25.07.2025 11:14,0
6,2,change score,NULL,Hedges g with correction factor c= (1-3/4(n-1) using raw score standardisation (according to Becker &amp; Morris),p calculation as reported in the Cochrane handbook alternatively:  imputation of p=0.7,"all articles included pre and post-case control designs (Becker, 1988 &amp; Morris, 2008)",Risk of Bias analysis for randomised trials (RoB2) showed some concerns (64%) and 36% with high risk and analysis for nonrandomized trials (ROBINS-I) showed at least serious risk for each article,,"Simao, R. (Reference in forest plot wrong. 76 instead of 77), no. 20 in Figure 4",NULL,NULL,was able to recalculate the Effect size with the given equation (4) by Favro which is in line with Morris 2008. I was not able to recalculate CI / variance as the change SD was not given and r=0.7 led to different CI.,,,TS,26.03.2025 19:41,28.03.2025 10:21,0
3,18,change score,NULL,"SMD (Hedges&#039; g), probably change score based",r = 0.5,reference to Cochrane handbook for correlation imputation,"only randomized trials included, ROB-2 for bias assessment","The MA does not report to use a change score based ES, but reports to have performed correlation imputation, which only applies to change score based ES. No individual ES presented in the main manuscript.","Saeterbakken et al. 2018 ( 4 out of 4 from Tab S1, first section [no forest plots with individual ES are given, but the Tab S1 presents individual ES)",change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their SD (possibly RevMan variance estimator),r = 0.5,,SN,25.07.2025 11:28,25.07.2025 11:36,0
11,18,change score,NULL,SMD (Hedges g),r = 0.5,reference to: Cochrane handbook for systematic reviews of interventions; 2011.,RoB 2 focused on the outcome level,"It&#039;s a Network Meta Analysis, therefore recalculation is probably difficult.","tried with Richardson et al. 2019, but did not find the corresponding forest plot",NULL,NULL,not replicable,,"As it is a NMA, I had a look into the supplemental material and chose a subcategory where only one study was used-&gt;   High-volume resistance exercise vs. control group, Richardson et al 2019. Still, I could not figure out to which forest plot the stated SMD belongs.",TS,31.03.2025 09:07,28.07.2025 22:27,0
4,56,change score,NULL,MD (probably of change scores),r = 0.85,"reference to Wewege &amp; Jones 2011 for the correlation imputation: &quot;In concordance with Wewege &amp; Jones (2021), a conservative paired-samples correlation of 0.85 was set for both study conditions.&quot; I checked the MA by Wewege &amp; Jones, they base their imputation of 0.85 on a sample of studies that reported pre-post correlations.","theoretically randomized and non-randomized controlled trials included, in practice all but one were randomized; ROB-1 for bias assessment",Most included studies used a crossover design,Niwa et al. 2022 (3 out of 41 from Fig 2),change score,NULL,MD of change scores and their SD,r = 0.85,Perfect match when using rounded values (second study). I could not reproduce the data extraction for the first study.,SN,25.07.2025 12:27,25.07.2025 12:27,0
39,56,change score,NULL,the mean difference (MD) after an exercise-based intervention compared with baseline values relative to the control condition,r=0.85,"No justification for Effect size method. 
Imputation method according to Wewege &amp; Jones (2021)",Cochrane Risk of Bias assessment tool,Double counting of control groups,"2 - Hviid (2019, b) - Hviid, J.-C., Thorlund, J. B., &amp; Vaegter, H. B. (2019). Walking increases pain
tolerance in humans: An experimental cross-over study.",change score,NULL,Mean difference based on change scores worked out for the values from the MA.,"unclear- in Hviid 2019, SD of difference was provided.","It is not clear, which data is actually used for Hviid, 2019b. I was not able to find the exact values that are stated in MA.",TS,14.05.2025 17:34,15.05.2025 08:33,0
6,96,change score,NULL,SMD based on change scores and their SD,r = 0.5,"SMD to compare measures among different scales, correlation imputation with reference to Cochrane handbook","only RCTs included, ROB(-1?) for bias assessment",No individual ES available in the manuscript,,NULL,NULL,,,"The MA does not present any individual effect sizes in its manuscript and supplemental documents. Therefore, it was not possible for me to perform a recalculation.",SN,25.07.2025 13:23,25.07.2025 13:23,0
57,96,change score,NULL,"SMD with 95% CI, based on change scores",r=0.5,According to Cochrane Handbook guidelines,"RCTs as an inclusion criterium, Cochrane Risk of Bias Tool used",Network Meta Analysis - did not report individual ES,not applicable as there is no individual study data,NULL,NULL,-,,-,TS,08.06.2025 20:33,08.06.2025 21:07,0
5,95,change score,MD of change scores (or post scores if no change scores are available),MD or SMD (depending on measure) of change score (or of post scores if change scores were not available),unclear,"&quot;Change scores and post-treatment scores were combined in the same meta-analyses, as the difference in mean post-intervention scores and mean change scores will, on average, be the same&quot; with reference to Cochrane handbook","only RCTs included, ROB-2 for bias assessment",,Hopper et al. 2017 (6 out of 12 from Fig S1),post-measures,NULL,"in this case MD based on post scores (but MA mixes change and post scores, and SMD for different outcomes)",,"The study I used for recalculation provided post and change scores (both with SD), but the MA used the post scores, contrary to what the MA method section says. The MA mixes post and change scores.",SN,25.07.2025 12:55,25.07.2025 12:55,0
56,95,unclear,NULL,Post score based and change score based,,Reference to Cochrane Handbook that post scores and change scores would be the same on average . No imputation method was reported.,only RCTs included,"Mean difference is used for angle measurements,  SMD is used for ground reaction forces. 
I am not sure, if change scores and post scores  were dealt separately in subgroups.","Study 4 of 7 - McCurdy et al 2012  SL DVJ (Forest Plot, Suppl. Fig. S1)",post-measures,NULL,"Mean difference of post scores, no variance homogeneity",,"The study (McCurdy et al) mentioned that only 27 participants took part, but it is not transparent in which group there were drop outs. Therefore, I used the number of participants that were given in the abstract of the study.",TS,30.05.2025 21:50,31.05.2025 11:46,0
