name,year,group,group_type,group_name,n,mean_pre,sd_pre,mean_post,sd_post,mean_d,sd_d,mean_dper,sd_dper,cohens_d,p,ci_low,ci_up,notes
Stöggl,2014,c,con,THR,8,63.2,4.6,60.8,7.1,,,-4.1,6.7,,,,,
Stöggl,2014,b,con,HVT,11,60.5,9.4,62.1,9.8,,,2.6,4.5,,,,,
Stöggl,2014,a,con,HIIT,10,63.7,7.1,66.6,5.8,,,4.8,5.6,,,,,
Stöggl,2014,,int,POL,12,60.6,8.3,67.4,7.7,,,11.7,8.4,,,,,
Hebisz,2021a,,con,BLOCK,10,60,4.8,63.6,4.3,,,,,,,,,
Hebisz,2021a,,int,POL,10,57.2,5.8,65.3,7.8,,,,,,,,,
Treff,2017,,con,PYR,6,64,3,64,2,,,1.7,5.6,0,0.522,,,
Treff,2017,,int,POL,6,68,7,68,7,,,0.6,2.8,0,0.686,,,
Hebisz,2021b,,con,C,12,59.6,8.4,61.2,10.1,,,,,,,,,
Hebisz,2021b,,int,E,14,62.3,6.4,66.3,5.6,,,,,,,,,
Festa,2020,,con,FOC,19,53.7,1.9,53.2,1.9,,,,,,,,,different values in table 1 for pre: 53.4/8.3
Festa,2020,,int,PET,19,53,5.9,53.6,4.8,,,,,,,,,different values in table 1 for pre: 52.9/8.1
Schumann,2017,,con,TL,10,47.3,3.5,50.6,5,,,,,,,,,
Schumann,2017,,int,ST,14,46.4,5.9,50.1,5.4,,,,,,,,,
Filipas,2022,,con,PYR,15,68,4,,,,,1.3,2.2,0.21,,,,
Filipas,2022,,int,POL,15,69,3,,,,,2.1,3,0.4,,,,
Pérez,2019,,con,THR,9,57.1,5.2,58.8,4.9,,,,,0.29,0.134,-0.5,3.8,
Pérez,2019,,int,POL,11,55.8,4.9,54.9,5.1,,,,,-0.17,0.346,-0.9,-2.8,
Carnes,2018,,con,CFE,12,46.5,6.9,48.3,7.8,1.77,1.9,3.42,3.7,,,,,
Carnes,2018,,int,POL,9,45.9,7.1,50.2,6.9,4.28,3.6,8.45,7,,,,,
Selles-Perez,2019,R,con,PYR,7,58.1,3.9,58.6,3.8,,,,,,,,,
Selles-Perez,2019,R,int,POL,6,52.8,4.1,55.01,1.7,,,,,,,,,
Selles-Perez,2019,C,con,PYR,7,54.1,5.1,57,6.2,,,,,,,,,
Selles-Perez,2019,C,int,POL,6,50.5,2.9,53.7,3.7,,,,,,,,,
