study_id,extraction_id,is_double,status,status_explanation,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft,recalc_imputemethod_result,calcmethod_code,hedges,standardizer,varestimator,reporting,error_extraction,error_extraction_note,error_calculation,error_calculation_note,error_reporting,error_reporting_note,further_observation
1,1,FALSE,,,change score,NULL,SMD (Hedges&#039; g) based on change score means and change score sds,r = 0.5,"Cochrane Handbook recommendations (&quot;conservative correlation of 0.5 was assumed to minimize the likelihood of overstating the intervention effect&quot;), Lakens 2013 for SMD with Hedges&#039; g",half of the studies are non-randomized. The RoB checklist (Suppl 3) is not really suitable as its items are for RCTs. The RoB results are therefore questionable.,"The authors present the imputation of the pre-post correlation as a limitation. Interestingly, the methods section seem to be copy-pasted and included a wording not relevant to the study (stretching vs. control).","Almquist 2022 (Group 2) (41 of 68 in Sup Fig 1, but there might be some double-counting in the forest plot)",change score,NULL,"This one is tricky. From how I understand it the authors did in fact not perform any group comparison, but only calculated within changes for each group. They used SMD with Hedges&#039; g correction for this (I could reproduce this with the number they give), but with treating the pre- and post-measures as independent. Thus not considering the pre-post correlation at all despite stating.",none,"I also couldn&#039;t reproduce their data extraction. The numbers reported in the MA do neither exactly match the data from the plot or table of the original publication (which differ, by the way). So there may be several issues here. 

The main take-away is that the meta-analysis did not really use a group comparison at all despite stating this. Maybe Tab 2 indicates a potential between group comparison, but this rather looks like a comparison of different overall within-groups effects. Maybe the multi-level MA offers any additional information, but I can&#039;t find anything more on it. 

So I could reproduce the ES size measure, but not with the method stated. Also I could not reproduce the data extraction.",SN,04.03.2025 11:41,20.05.2025 15:22,0,0,smd_hedges_changewithin_avg_metafor,TRUE,avg,metafor,incorrect,unclear,Could not reproduce data extraction for some values,none,,major,"The MA reported to use between study SMD with an imputed r of 0.5. Instead they only calculated within study ES, without using any correlation measures.",
2,6,TRUE,,,change score,NULL,"SMD with Hedges' correction of change scores standardized by pre score SD (Morris ppc1, either with Morris or Becker variance estimator)",r = 0.7 if not possible to recalculate,"all articles included pre and post-case control designs (Becker, 1988 &amp; Morris, 2008)",Risk of Bias analysis for randomised trials (RoB2) showed some concerns (64%) and 36% with high risk and analysis for nonrandomized trials (ROBINS-I) showed at least serious risk for each article. ,"the presented formula shows the Morris ppc1 estimate and variance estimator, but also reference to Becker. In general, very detailed explanation of the effect size calculation methods including formulas for point and variance estimate. Sensitivity analysis were performed for r = 0.1, 0.2, ..., 0.9. Data and code available!","Simao, R. (Reference in forest plot wrong. 76 instead of 77), no. 20 in Figure 4",change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Becker variance estimator),r = 0.7,"MA used a different variance estimator than the one given in the article as a formula. I could perfectly recalculate the ES point estimate, but not the forest plot CI, because the aggregation procedure of the 3-level MA seems to change the variance estimates. But using the script, I could fully reproduce the originally calculated ES variance.",TS/SN,26.03.2025 19:41,17.12.2025 11:07,0,0.7,ppc1_becker,TRUE,pre,becker,incorrect,none,,none,,minor,incorrect formula for variance estimator reported,
4,7,FALSE,,,unclear,NULL,probably some change-score based MD but this is written nowhere,none,none,only RCTs included,"from the forest plot and the one vague sentence on effect size calculation, I suppose the MA uses MD based on change scores. But there are almost no information given, also the language is sometimes confusing.",Carcelén-Fraile 2022 (3 out of 19 in Fig 2),change score,NULL,MD of change scores and their sd. Mean and sd of change scores are compared with a traditional (between-group/independent) MD. This could count as some form of change score-based standardization.,r = 0.5,"This was fairly easy to recalculate, in part because the forest plot shows detailed data (mean, sd, for both groups).",SN,28.03.2025 16:56,28.03.2025 18:20,0,0.5,md_change_change,NA,change,hetero,missing,none,,none,,none,,
5,2,FALSE,,,change score,NULL,"SMD of change score means devided by pooled change score sds. Unclear if Hedges&#039; correction. Indirect link to Borenstein &amp; Hedges for the variance estimator, which would mean that Hedges&#039; correction applies (though their reference makes a mistake in copying the formula).",r=0.5,"commonly used, &quot;balancing the risk of over- or underestimating the variance.&quot; Reference to Rosenthal",only randomized or crossover studies included,,"Franchi et al (14 of 35 in Fig 2, though there is potentially double-counting of studies)",change score,NULL,"SMD of change scores standardized by the change score standard deviation, without Hedges&#039; g correction.",0.5,"I had to try to recalculate three studies: The first and second study presented percentage differences with a measure of variability, so that no correlation imputation was needed. For the third study I could confirm the imputation procedure. In general I could reproduce the effect sizes (when not using Hedges&#039; correct, the correction was not written in the manuscript but may have been implied by the references). I could not reproduce the CIs, maybe in part because I had to extract these values from a low quality figure. 

Also, for the first study I tried to recalculate, the MA authors mistook SEM for SD, making the effect estimate incorrect. In this case the CIs were also definitely off.

[EDIT AFTER AUTHOR CONTACT:]
The authors provided a data sheet with the exact effect sizes and standard errors. With this information, I could recalculated all three effect sizes I tried, after correcting two minor data extraction error from my side and after considering the already described SD/SE mixup for one study. I have updated the R code.",SN,04.03.2025 13:35,24.11.2025 10:22,0,0.5,smd_cohen_change_change,FALSE,change,cohen,incomplete,major,SE/SD mixup,none,,none,,
6,3,FALSE,,,unclear,NULL,"I guess post-score based SMD (Cohen&#039;s d), but I am not exactly sure because only studies with pre and post-measures were included.",,"At some point Cochrane is referenced for the effect size measures selected, but no explicit justification.","included RCTs and CTs, analyzed separately, ROBINS-I and RoB2 bias assessment.",,"Fu (2013), from Figure S1a (Suppl)",change score,NULL,Cohen&#039;s d SMD based on change scores (standardized by either average pre and post standard deviation or by change score standard deviation when imputing r = 0.5).,maybe r=0.5 or average pre and post sd instead,"I had to use a second study to work out the effect size calculation procedure. It then worked for both. The MA neither mentioned any correlation imputation nor standard deviation combination procedure, and they provide comparable results, so I am unclear which of both was used. In general the article lacks any concrete description of the effect size calculation procedure.",SN,06.03.2025 13:00,25.03.2025 12:37,0,0.5,smd_cohen_change_change,FALSE,change,cohen,incomplete,none,,none,,none,,
7,4,FALSE,,,change score,NULL,SMD of change scores standardized by pooled pre sd (this is essentially the ppc2 approach by Morris 2008),"unclear (although not needed for standardization, but for variance estimate)",reference to Morris 2008,"randomized and non-randomized trials included, pedro scale rating",,Hayes &amp; Walker (2007) [1] (87 out of 106 from S6 Fig 1),change score,NULL,"ppc2 of Morris (change score based SMD with pooled pre sd for standardization), with Becker (ppc1) variance estimator",r=0.5,"The authors provided the full extracted data with was extremely helpful for reanalyzing. I had to extract the original study data from a plot but received values similar to the MA authors. The MA authors made a mistake in data extraction for the sample size of the control group. The correlation imputation had to be guessed, but worked well (also in the raw data the authors commented that they used r=0.5 for calculating change score sd). [AFTER REANALYIS: I could get exactly matching confidence intervals when calculating the variance using the Becker estimator, which is usually used for the ppc1 approach]",SN,07.03.2025 11:55,25.03.2025 12:37,0,0.5,ppc2,TRUE,pre,becker,incomplete,minor,incorrect sample size,minor,incorrect variance estimator,none,,
9,5,FALSE,,,change score,NULL,SMD based on change scores standardized by pooled pre sd (Morris ppc2).,r = 0.7,reference to Morris for the effect size. reference to Rosenthal (1986) for the correlation imputation (&quot;standard value of 0.7&quot;),only randomized controlled trials included,The authors provide the formula for their ES and its variance.,Martínez Guardado (2020) bizeps curl (16 out of 31 from Fig 2),change score,NULL,SMD based on change scores standardized by pooled pre sd (Morris ppc2).,0.7,recalculation perfectly worked with the first try,SN,07.03.2025 17:28,29.04.2025 14:49,0,0.7,ppc2,TRUE,pre,morris2,complete,none,,none,,none,,
10,10,FALSE,exclude,no formal group comparison (Bayesian one-stage IPD-MA),change score,NULL,not required,not required,na,"Randomised controlled and non-controlled training studies, ROB-2 for RCT and ROBINS for non-RCT bias assessment","This is a special case, because it is a Bayesian one-stage IPD (individual participant data) MA, which means that no effect sizes were calculated on the study level. Therefore, the design matches to what we are looking for, but the analysis method is not matching.",,NULL,NULL,,,,SN,28.03.2025 18:36,25.04.2025 15:10,0,,,,,,,,,,,,,
13,8,FALSE,,,unclear,NULL,"SMD, but unclear based on what",,none,"non-randomized studies included, RoB-2 tool to assess bias (e.g. due to missing randomization)",there is really not much reported on the effect sizes. Maybe it&#039;s post score only then?,Moro 2020 (14 out of 17 in Fig 2),post-measures,NULL,"SMD, possibly with Hedges correction but this does not make a difference in this case",,fairly easy to recalculate because the forest plots showed means and sds for both groups. [AFTER REANALYSIS: could determine that Hedges correction and Revman variance estimator were used],SN,28.03.2025 18:00,28.03.2025 18:19,0,na,smd_hedges_post_revman,TRUE,post,revman,missing,none,,none,,none,,
18,11,TRUE,,,change score,NULL,SMD (Hedges g),r = 0.5,reference to: Cochrane handbook for systematic reviews of interventions; 2011.,"only randomized trials included, ROB-2 for bias assessment","It&#039;s a Network Meta Analysis, therefore recalculation is probably difficult. The MA does not report to use a change score based ES, but reports to have performed correlation imputation, which only applies to change score based ES. No individual ES presented in the main manuscript.","Saeterbakken et al. 2018 ( 4 out of 4 from Tab S1, first section [no forest plots with individual ES are given, but the Tab S1 presents individual ES)",change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their SD (possibly RevMan variance estimator),r = 0.5,,TS/SN,31.03.2025 09:07,17.12.2025 11:13,0,0.5,smd_hedges_change_change_revman,TRUE,change,revman,complete,none,,none,,none,,
