"id","study_id","user","comments","submitted_date","last_updated","type","exclusion_reason","exclusion"
"1","1","SN",,"2025-02-14 16:00:55","2025-02-14 16:00:55","abstract",NULL,"0"
"2","2","SN",,"2025-02-14 16:01:12","2025-02-14 16:01:12","abstract",NULL,"0"
"3","3","SN",,"2025-02-14 16:02:07","2025-02-14 16:02:07","abstract",NULL,"0"
"4","4","SN",,"2025-02-14 16:02:38","2025-02-14 16:02:38","abstract",NULL,"0"
"5","5","SN",,"2025-02-14 16:03:24","2025-02-14 16:03:24","abstract",NULL,"0"
"6","6","SN",,"2025-02-14 16:04:21","2025-02-14 16:04:21","abstract",NULL,"0"
"7","7","SN",,"2025-02-14 16:04:47","2025-02-14 16:04:47","abstract",NULL,"0"
"8","8","SN",,"2025-02-14 16:05:44","2025-02-14 16:05:44","abstract","No group comparison","1"
"9","9","SN",,"2025-02-14 16:06:23","2025-02-14 16:06:23","abstract",NULL,"0"
"10","10","SN",,"2025-02-14 16:07:04","2025-02-14 16:07:04","abstract",NULL,"0"
"11","11","SN",,"2025-02-14 16:08:21","2025-02-14 16:08:21","abstract",NULL,"0"
"12","12","SN",,"2025-02-14 16:09:20","2025-02-14 16:09:20","abstract",NULL,"0"
"13","13","SN",,"2025-02-14 16:09:54","2025-02-14 16:09:54","abstract",NULL,"0"
"14","14","SN",,"2025-02-14 16:10:49","2025-02-14 16:10:49","abstract","No pre-post design","1"
"15","15","SN",,"2025-02-14 16:11:29","2025-02-14 16:11:29","abstract","No group comparison","1"
"16","16","SN",,"2025-02-14 16:12:29","2025-02-14 16:16:58","abstract","No exercise intervention","1"
"17","17","SN",,"2025-02-14 16:13:23","2025-02-14 16:13:23","abstract","No group comparison","1"
"18","18","SN",,"2025-02-14 16:14:24","2025-02-14 16:14:24","abstract",NULL,"0"
"19","19","SN",,"2025-02-14 16:15:17","2025-02-14 16:15:17","abstract",NULL,"0"
"20","20","SN",,"2025-02-14 16:16:12","2025-02-14 16:16:12","abstract","No exercise intervention","1"
"21","21","SN",,"2025-02-14 16:17:31","2025-02-14 16:17:31","abstract",NULL,"0"
"22","22","SN",,"2025-02-14 16:17:56","2025-02-14 16:17:56","abstract",NULL,"0"
"23","23","SN",,"2025-02-14 16:18:36","2025-02-14 16:18:36","abstract",NULL,"0"
"24","24","SN",,"2025-02-14 16:19:12","2025-02-14 16:19:12","abstract",NULL,"0"
"25","25","SN",,"2025-02-14 16:19:47","2025-02-14 16:19:47","abstract",NULL,"0"
"26","26","SN",,"2025-02-14 16:20:12","2025-02-14 16:20:12","abstract",NULL,"0"
"27","27","SN",,"2025-02-14 16:21:16","2025-02-14 16:21:16","abstract","No group comparison","1"
"28","28","SN",,"2025-02-14 16:21:57","2025-02-14 16:21:57","abstract",NULL,"0"
"29","29","SN",,"2025-02-14 16:22:27","2025-02-14 16:22:27","abstract",NULL,"0"
"30","30","SN",,"2025-02-14 16:23:05","2025-02-14 16:23:05","abstract","No group comparison","1"
"31","31","SN",,"2025-02-14 16:23:35","2025-02-14 16:23:35","abstract",NULL,"0"
"32","32","SN",,"2025-02-14 16:24:49","2025-02-14 16:24:49","abstract",NULL,"0"
"33","33","SN",,"2025-02-14 16:25:11","2025-02-14 16:25:11","abstract",NULL,"0"
"34","34","SN",,"2025-02-14 16:25:37","2025-02-14 16:25:37","abstract",NULL,"0"
"35","35","SN",,"2025-02-14 16:26:33","2025-02-14 16:26:33","abstract",NULL,"0"
"36","36","SN","Not a real exercise intervention, more the effect of a nutrition intercention on responses to exercise","2025-02-14 16:28:20","2025-02-14 16:28:20","abstract",NULL,"0"
"37","37","SN","Also not a real group comparison, but walking speeds were categorized","2025-02-14 16:28:57","2025-02-17 10:53:00","abstract","No pre-post design","1"
"38","38","SN",,"2025-02-14 16:29:51","2025-02-14 16:29:51","abstract",NULL,"0"
"39","39","SN","Not a true exercise intervention, rather a cognition intervention. But for me not enough details to exclude","2025-02-14 16:31:27","2025-02-14 16:31:27","abstract",NULL,"0"
"40","40","SN","combination of nutritional and exercise intervention","2025-02-14 16:32:11","2025-02-14 16:32:11","abstract",NULL,"0"
"41","41","SN","combination of nutrition and exercise intervention","2025-02-14 16:32:50","2025-02-14 16:32:50","abstract",NULL,"0"
"42","42","SN",,"2025-02-14 16:33:15","2025-02-14 16:33:15","abstract",NULL,"0"
"43","43","SN",,"2025-02-14 16:33:46","2025-02-14 16:33:46","abstract",NULL,"0"
"44","44","SN","combination of feedback and exercise intervention, pre-post design unclear","2025-02-14 16:34:41","2025-02-14 16:34:41","abstract",NULL,"0"
"45","45","SN",,"2025-02-14 16:35:21","2025-02-14 16:35:21","abstract",NULL,"0"
"46","46","SN","The experimental part may fit to the inclusion criteria","2025-02-14 16:37:08","2025-02-14 16:37:08","abstract",NULL,"0"
"47","47","SN",,"2025-02-14 16:37:50","2025-02-14 16:37:50","abstract",NULL,"0"
"48","48","SN",,"2025-02-14 16:38:29","2025-02-14 16:38:29","abstract","No pre-post design","1"
"49","49","SN",,"2025-02-14 16:39:10","2025-02-14 16:39:10","abstract",NULL,"0"
"50","50","SN","combinations of exercise and other interventions","2025-02-14 16:40:08","2025-02-14 16:40:08","abstract",NULL,"0"
"51","51","SN",,"2025-02-14 16:41:21","2025-02-14 16:41:21","abstract",NULL,"0"
"52","52","SN","may be cross-over, pre-post not really clear","2025-02-14 16:42:14","2025-02-14 16:42:14","abstract",NULL,"0"
