"id","doi","title","abstract","name","journal"
"1","doi.org/10.1016/j.jsams.2024.12.005","The effect of training distribution, duration, and volume on VO2max and performance in trained cyclists: A systematic review, multilevel meta-analysis, and multivariate meta-regression.","This study aimed to systematically investigate whether polarized or non-polarized training leads to greater physiological and performance adaptations in cyclists.A systematic review and meta-analysis were conducted, focusing on interventions categorized as polarized, non-polarized, or unclear. Inclusion criteria required participants to be at least recreationally trained cyclists (VO2max ≥ 59 ml/kg/min) and interventions lasting > 4 weeks.A multi-level random-effects meta-analysis using restricted maximum likelihood estimation was performed. A multivariate meta-regression assessed associations between training volume, VO2max, and time-trial performance.Forty-one studies, comprising 81 training groups and 797 participants, were included. Training significantly improved VO2max across all groups (g = 0.42, 95 % confidence interval = 0.31-0.53, P ≤ 0.001) and time-trial performance (g = 0.39, 95 % confidence interval = 0.25-0.53, P ≤ 0.001), with no significant differences between training modalities (P > 0.05). Longer intervention durations positively influenced VO2max (g = 0.03, 95 % confidence interval = 0.02-0.05, P < 0.001) and time-trial performance (g = 0.04, 95 % confidence interval = 0.03-0.06, P < 0.001). No associations were found between weekly or total training volume and changes in VO2max or time-trial performance.Polarized and non-polarized training modalities yield comparable improvements in VO2max and time-trial performance in trained cyclists. Beyond achieving a necessary training volume, further increases do not appear to enhance performance. These findings encourage athletes and coaches to prioritize effective training distribution rather than fixating on total volume or a specific model.Copyright © 2024 The Author(s). Published by Elsevier Ltd.. All rights reserved.","Cove","Journal of science and medicine in sport"
"2","doi.org/10.1519/JSC.0000000000005000","The Influence of Resistance Training on Joint Flexibility in Healthy Adults: A Systematic Review, Meta-analysis, and Meta-regression.","Favro, F, Roma, E, Gobbo, S, Bullo, V, Di Blasio, A, Cugusi, L, and Bergamin, M. The influence of resistance training on joint flexibility in healthy adults: A systematic review, meta-analysis, and meta-regression. J Strength Cond Res XX(X): 000-000, 2024-Joint flexibility is a key component of physical fitness. Despite the large body of evidence regarding the effectiveness of muscle stretching exercises, little is known about the effect of resistance training on flexibility. A systematic search was conducted on 9 academic search instruments; inclusion criteria were as follows: healthy adult participants (age ≥18 years); resistance training intervention (duration ≥4 weeks); at least one flexibility outcome. Risk of bias was assessed using the RoB-2 and ROBINS-I tools. A 3-level meta-analysis was conducted, with multiple outcomes nested within each study. A moderator analysis was conducted by fitting a meta-regression model. Significance level was set at p < 0.05. We included 36 studies (1,469 participants). None of the included papers resulted at a low risk of bias. The pooled effect size for resistance training on flexibility was g = 0.6325, with 95% CI: 0.4762 to 0.7888 (p < 0.0001). There was a substantial amount of heterogeneity between studies. Exercise intensity was a significant moderator (p < 0.0225, high vs low), based on 129 and unique effect sizes, and sex (p = 0.0429). Activity level and age were nonsignificant moderators. Resistance training could be implemented as a strategy to improve joint flexibility, with high-intensity protocols resulting in a magnified effect. However, the high overall risk of bias and substantial heterogeneity limit our ability to draw definitive conclusions.Copyright © 2024 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of the National Strength and Conditioning Association.","Favro","Journal of strength and conditioning research"
"3","doi.org/10.1007/s40279-024-02148-4","Reallocating Time Between 24-h Movement Behaviors for Obesity Management Across the Lifespan: A Pooled Data Meta-Analysis of More Than 9800 Participants from Seven Countries.","The distribution of time across physical activity, sedentary behaviors, and sleep appears to be essential for the management of obesity. However, the impact of reallocating time among these behaviors, collectively known as 24-h movement behaviors, remains underexplored.This study examines the theoretical effects of reallocating time between 24-h movement behaviors on obesity indicators across different age groups.We performed a pooled data meta-analysis of 9818 participants from 11 observational and experimental studies. To estimate the time spent in movement behaviors, we reprocessed and harmonized individual-level raw accelerometer-derived data. Isotemporal substitution models estimated theoretical changes in body mass index (BMI) and waist circumference (WC) associated with time reallocation between movement behaviors. We performed the analysis separately for children, adolescents, adults, and older adults.Even minor reallocations of 10 min led to significant changes in obesity indicators, with pronounced effects observed when 30 min were reallocated. The most substantial adverse effects on BMI and WC occurred when moderate-to-vigorous physical activity (MVPA) was reallocated to other movement behaviors. For 30-min reallocations, the largest increase in BMI (or BMI z-score for children) occurred when MVPA was reallocated to light-intensity physical activity (LPA) in children (0.26 units, 95% confidence interval [CI] 0.15, 0.37) and to sedentary behavior (SB) in adults (0.72 kg/m2, 95% CI 0.47, 0.96) and older adults (0.73 kg/m2, 95% CI 0.59, 0.87). The largest increase in WC was observed when MVPA was substituted with LPA in adults (2.66 cm, 95% CI 1.42, 3.90) and with SB in older adults (2.43 cm, 95% CI 2.07, 2.79). Conversely, the highest magnitude of the decrease in obesity indicators was observed when SB was substituted with MVPA. Specifically, substituting 30 min of SB with MVPA was associated with a decrease in BMI z-score by - 0.15 units (95% CI - 0.21, - 0.10) in children and lower BMI by - 0.56 kg/m2 (95% CI - 0.74, - 0.39) in adults and by - 0.52 kg/m2 (95% CI - 0.61, - 0.43) in older adults. Reallocating time away from sleep and LPA showed several significant changes but lacked a consistent pattern. While the predicted changes in obesity indicators were generally consistent across age groups, inconsistent findings were observed in adolescents, particularly for reallocations between MVPA and other behaviors.This investigation emphasizes the crucial role of MVPA in mitigating obesity risk across the lifespan, and the benefit of substituting SB with low-intensity movement behaviors. The distinct patterns observed in adolescents suggest a need for age-specific lifestyle interventions to effectively address obesity. Emphasizing manageable shifts, such as 10-min reallocations, could have significant public health implications, promoting sustainable lifestyle changes that accommodate individuals with diverse needs, including those with severe obesity.© 2024. The Author(s).","Gába","Sports medicine (Auckland, N.Z.)"
"4","doi.org/10.1016/j.jsams.2024.11.015","Effects of exercise on sleep quality in women - A systematic review and meta-analysis.","Insomnia affects at least one-third of the global population and is more common in women. Exercise has been reported to improve sleep quality and subsequent use of hypnotics. Therefore, we performed a meta-analysis to assess the effect of exercise on sleep quality in adult women.This meta-analysis systematically assessed the effects of exercise on women's sleep quality using a random-effects model.We searched seven databases for randomised controlled trials examining the effect of exercise on sleep quality in women. Inclusion criteria were women aged 18 or older with insomnia symptoms, exercise used as an intervention, and the Pittsburgh Sleep Quality Index or Insomnia Severity Index as outcome measures. We excluded studies using other treatments, those involving cancer patients or pregnant women, and those with unclear, unanalysable data. A random-effects model was used for meta-analysis, with outcomes expressed as the weighted mean difference and 95 % confidence interval. Risk of bias was assessed using Cochrane Handbook criteria.The meta-analysis included 16 studies. The results indicated that exercise significantly reduced the Pittsburgh Sleep Quality Index total score. Exercise implemented for <12 weeks was more effective in improving sleep quality and daytime dysfunction, whilst interventions ≥12 weeks reduced the use of sleep medication.Exercise training can significantly improve sleep quality in adult women, as measured by the Pittsburgh Sleep Quality Index. Therefore, exercise can be crucial in promoting health, especially as a non-pharmacological treatment. When more studies will be available in the future, it will be possible to further explore the impact of age, type of exercise, and time of exercise.Copyright © 2024 Elsevier Ltd. All rights reserved.","Qiao","Journal of science and medicine in sport"
"5","doi.org/10.1519/JSC.0000000000004981","Comparison Between Eccentric vs. Concentric Muscle Actions On Hypertrophy: A Systematic Review and Meta-analysis.","da Silva, LSL, Gonçalves, LdS, Alves Campos, PH, Benjamim, CJR, Tasinafo Júnior, MF, de Lima, LCR, Bueno Júnior, CR, and Alves, CPdL. Comparison between eccentric vs. concentric muscle actions on hypertrophy: a systematic review and meta-analysis. J Strength Cond Res 39(1): 115-134, 2025-Different physiological mechanisms of sarcomere activity during eccentric (ECC) and concentric (CON) muscle actions led to investigations into muscle hypertrophy outcomes, but conclusions remain elusive. We aimed to investigate the effects of ECC vs. CON muscle actions on muscle hypertrophy in apparently healthy adults through a systematic review with meta-analysis. The searches were conducted on EMBASE, MEDLINE, Cochrane Library, Web of Science, Scopus, and SPORTDiscus databases. To be eligible for inclusion, studies had to: (a) be randomized/controlled trials; (b) investigate the effects of CON vs. ECC resistance training programs in apparently healthy adults; (c) assess hypertrophy outcomes using direct imaging for cross-sectional area, muscle thickness, or muscle volume. A total of 15,778 studies were identified, and 26 (682 subjects included in the meta-analysis) met the inclusion criteria. The main findings indicated no statistical difference between ECC vs. CON on hypertrophy measurements (0.285 [95% CI: -0.131 to 0.701]; p = 0.179; I2: 84.4%; GRADE: very low). Subgroup meta-analysis analyzing possible hypertrophy outcome moderators as age (18-59 years old and ≥60 years old) and weeks of intervention duration (>8 weeks) did not reveal differences between ECC vs. CON. Subgroup analysis revealed an effect favoring the ECC for the upper limb muscles (p = 0.018), ≤8 weeks of intervention (p = 0.046), muscle thickness assessment (p = 0.0352), and isokinetic contraction (p = 0.0251). Our findings suggest similar hypertrophy between ECC and CON muscle actions in apparently healthy adults. However, it appears that the muscles of the upper limbs, shorter interventions, hypertrophy assessment method, and the contraction type may favor ECC muscle actions.Copyright © 2024 National Strength and Conditioning Association.","da Silva","Journal of strength and conditioning research"
"6","doi.org/10.1007/s40279-024-02136-8","DE-PASS Best Evidence Statement (BESt): A Systematic Review and Meta-analysis on the Effectiveness of Trials on Device-Measured Physical Activity and Sedentary Behaviour and Their Determinants in Children Aged 5-12 Years.","To combat the high prevalence of physical inactivity among children, there is an urgent need to develop and implement real-world interventions and policies that promote physical activity (PA) and reduce sedentary behaviour (SB). To inform policy makers, the current body of evidence for children's PA/SB interventions needs to be translated.The current systematic review and meta-analysis aimed to identify modifiable determinants of device-measured PA and SB targeted in available intervention studies with randomized controlled trial (RCT) and controlled trial (CT) designs in children and early adolescents (5-12 years) and to quantify the effects of the interventions within their respective settings on the determinants of PA/SB and the outcomes PA and SB.A systematic search was conducted in MEDLINE, PsycINFO, Web of Science, SPORTDiscus and CENTRAL. Studies were considered if they were randomized controlled trials (RCTs) or controlled trials (CTs), included children and/or early adolescents (5-12 years; henceforth termed children), measured PA and/or SB using device-based methods and measured PA and/or SB and determinants of PA/SB at least at two timepoints. Risk of bias was assessed using the Cochrane Risk of Bias Tool for Randomised Trials (RoB2) for RCTs and Risk of Bias in Non-randomised Studies of Interventions (ROBINS-I) for CTs. The quality of the generated evidence was assessed using Grading of Recommendations Assessment, Development and Evaluation (GRADE). Robust Bayesian meta-analysis was conducted to quantify the effects of the interventions on the determinants of PA/SB, and the outcomes PA and SB, stratifying by study design, duration of PA/SB measurement, intervention setting and duration of follow-up measurement. Study characteristics and interventions were summarized.Thirty-eight studies were included with a total sample size of n = 14,258 (67% girls). Settings identified were school, family/home, community and combinations of these. The review identified 38 modifiable determinants, spanning seven categories on individual, interpersonal and physical environmental levels, with 66% of determinants on the individual level. Overall, the results indicated trivial-to-moderate effects of the interventions on the determinants of PA and SB, with mostly trivial level of evidence for the presence of an effect (as indicated by a small Bayes factor; BF10 < 3.00). The exceptions were moderate effects on parental PA modelling in the family/home setting and SB measured during specific parts of the school day. Higher quality of evidence was found in the family/home setting compared with other settings.Overall, the results indicated that interventions have neither been effective in modifying the determinants of PA/SB, nor changing the PA/SB outcomes in children. In general, the approach in the current review revealed the breadth of methodological variability in children's PA interventions. Research is needed to address novel approaches to children's PA research and to identify potential determinants to inform policy and future interventions.International prospective register of systematic reviews (PROSPERO): CRD42021282874.© 2024. The Author(s).","Khudair","Sports medicine (Auckland, N.Z.)"
"7","doi.org/10.1007/s40279-024-02143-9","Optimising the Dose of Static Stretching to Improve Flexibility: A Systematic Review, Meta-analysis and Multivariate Meta-regression.","Static stretching is widely used to increase flexibility. However, there is no consensus regarding the optimal dosage parameters for increasing flexibility.We aimed to determine the optimal frequency, intensity and volume to maximise flexibility through static stretching, and to investigate whether this is moderated by muscle group, age, sex, training status and baseline level of flexibility.Seven databases (CINAHL Complete, Cochrane CENTRAL, Embase, Emcare, MEDLINE, Scopus, and SPORTDiscus) were systematically searched up to June 2024. Randomised and non-randomised controlled trials investigating the effects of a single session (acute) or multiple sessions (chronic) of static stretching on one or more flexibility outcomes (compared to non-stretching passive controls) among adults (aged ≥ 18 years) were included. A multi-level meta-analysis examined the effect of acute and chronic static stretching on flexibility outcomes, while multivariate meta-regression was used to determine the volume at which increases in flexibility were maximised.Data from 189 studies representing 6654 adults (61% male; mean [standard deviation] age = 26.8 ± 11.4 years) were included. We found a moderate positive effect of acute static stretching on flexibility (summary Hedges' g = 0.63, 95% confidence interval 0.52-0.75, p < 0.001) and a large positive effect of chronic static stretching on flexibility (summary Hedges' g = 0.96, 95% confidence interval 0.84-1.09, p < 0.001). Neither effect was moderated by stretching intensity, age, sex or training status, or weekly session frequency and intervention length (chronic static stretching only) [p > 0.05]. However, larger improvements were found for adults with poor baseline flexibility compared with adults with average baseline flexibility (p = 0.01). Furthermore, larger improvements in flexibility were found in the hamstrings compared with the spine following acute static stretching (p = 0.04). Improvements in flexibility were maximised by a cumulative stretching volume of 4 min per session (acute) and 10 min per week (chronic).Static stretching improves flexibility in adults, with no additional benefit observed beyond 4 min per session or 10 min per week. Although intensity, frequency, age, sex and training status do not influence improvements in flexibility, lower flexibility levels are associated with greater improvement following both acute and chronic static stretching. These guidelines for static stretching can be used by coaches and therapists to improve flexibility.PROSPERO CRD42023420168.© 2024. The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Ingram","Sports medicine (Auckland, N.Z.)"
"8","doi.org/10.1007/s40279-024-02129-7","Relationship Between Physical Literacy and Cardiorespiratory Fitness in Children and Adolescents: A Systematic Review and Meta-analysis.","Physical literacy (PL) can positively affect the health of children, adolescents, and adults, and is closely related to cardiorespiratory fitness (CRF).To perform a systematic review and meta-analysis to examine the relationship between overall physical literacy (PL) and CRF in children and adolescents.Cross-sectional, cohort and experimental studies on the relationship between PL and CRF in children and adolescents were collected by searching the Web of Science Core Collection, PubMed, EBSCOhost, ScienceDirect, Cochrane Library and China National Knowledge Infrastructure (CNKI) databases. Based on the characteristics of the included literature, PL was divided into physical competence (PC), daily behavior (DB), knowledge and understanding (K&U), and motivation and confidence (M&C). R 4.3.6 was used to analyze the combined effect size of PL and the relationships of the four dimensions with CRF among children and adolescents.A total of 21 articles were included, 42.9% of which were published after 2020, involving a total of 43,352 children and adolescents from 23 countries or regions. The characteristics of the included studies showed that, except for the K&U of children and adolescents aged 13-18 years, the K&U of other age groups and the PL, PC, DB, M&C of all age groups were significantly positively correlated with CRF. Furthermore, the results of male and female samples in all included studies were the same. The results of the meta-analysis indicated that PL (COR = 0.64, 95% CI 0.58, 0.70), PC (COR = 0.74, 95% CI 0.69, 0.79), DB (COR = 0.49, 95% CI 0.40, 0.57), K&U (COR = 0.41, 95% CI 0.23, 0.56), and M&C (COR = 0.45, 95% CI 0.41, 0.49) were significantly positively correlated with CRF. Regarding DB, total physical activity (TPA) was positively correlated with CRF (COR = 0.49, 95% CI = 0.40, 0.57). Moderate to vigorous physical activity (MVPA), vigorous physical activity (VPA) and high physical activity (HPA) were positively correlated with CRF (COR = 0.16, 95% CI 0.09, 0.22; COR = 0.33, 95% CI 0.22, 0.43; COR = 0.38, 95% CI 0.13, 0.58), but light physical activity (LPA) was negatively correlated with CRF (COR = - 0.20, 95% CI - 0.32, 0.06).PL and CRF are positively correlated among children and adolescents, suggesting that the development of physical literacy has a wide range of effects on children and adolescents' cardiopulmonary health and that these effects are not limited by PL and its various dimensions or sex. In addition, to exert the positive effect of daily activities on cardiopulmonary health, the intensity of physical activity should reach a moderate level or above.© 2024. The Author(s).","Jiang","Sports medicine (Auckland, N.Z.)"
"9","doi.org/10.1080/02640414.2024.2425536","The influence of specific resistance training methodological prescription variables on strength development under hypoxic conditions: A systematic review and meta-analysis.","A systematic review and meta-analysis were conducted focused on the impact of specific methodological prescription variables in resistance training (RT) programming on muscle strength under hypoxic conditions. Searches of Pubmed-Medline, Web of Science, Sport Discuss and the Cochrane Library compared the effect of RT on strength development under hypoxic (RTH) vs. normoxic (RTN) conditions through the 1-repetition maximum (1RM) test. Apart from the overall meta-analysis, several RT methodological prescription variables available in the included studies (set end point, total weekly training volume, type of exercise, region of the body measured or type of routine) were analysed. Thirteen studies met the inclusion criteria. The overall analyses showed trivial differences in 1RM favouring RTH over RTN (SMD = 0.18 [CI: 0.04; 0.31]; p = 0.030). Sub-analyses revealed that a RT programme of a non-full-body routine, including 9 or more sets per exercise/week of multi-joint exercises performed to non-failure, favoured RTH for enhancing 1RM (p < 0.10). In conclusion, the evidence ratified a trivial benefit of RTH over RTN for muscle strength gains after a RT period. However, the handling of specific RT methodological prescription variables can slightly improve strength development outcomes in hypoxia.","Benavente","Journal of sports sciences"
"10","doi.org/10.1007/s40279-024-02125-x","Changes in Cardiorespiratory Fitness Following Exercise Training Prescribed Relative to Traditional Intensity Anchors and Physiological Thresholds: A Systematic Review with Meta-analysis of Individual Participant Data.","It is unknown whether there are differences in maximal oxygen uptake ( V O2max) response when prescribing intensity relative to traditional (TRAD) anchors or to physiological thresholds (THR).The present meta-analysis sought to compare: (a) mean change in V O2max, (b) proportion of individuals increasing V O2max beyond a minimum important difference (MID) and (c) response variability in V O2max between TRAD and THR.Electronic databases were searched, yielding data for 1544 individuals from 42 studies. Two datasets were created, comprising studies with a control group ('controlled' studies), and without a control group ('non-controlled' studies). A Bayesian approach with multi-level distributional models was used to separately analyse V O2max change scores from the two datasets and inferences were made using Bayes factors (BF). The MID was predefined as one metabolic equivalent (MET; 3.5 mL kg-1 min-1).In controlled studies, mean V O2max change was greater in the THR group compared with TRAD (4.1 versus 1.8 mL kg-1 min-1, BF > 100), with 64% of individuals in the THR group experiencing an increase in V O2max > MID, compared with 16% of individuals taking part in TRAD. Evidence indicated no difference in standard deviation of change between THR and TRAD (1.5 versus 1.7 mL kg-1 min-1, BF = 0.55), and greater variation in exercise groups relative to non-exercising controls (1.9 versus 1.3 mL kg-1 min-1, BF = 12.4). In non-controlled studies, mean V O2max change was greater in the THR group versus the TRAD group (4.4 versus 3.4 mL kg-1 min-1, BF = 35.1), with no difference in standard deviation of change (3.0 versus 3.2 mL kg-1 min-1, BF = 0.41).Prescribing exercise intensity using THR approaches elicited superior mean changes in V O2max and increased the likelihood of increasing V O2max beyond the MID compared with TRAD. Researchers designing future exercise training studies should thus consider the use of THR approaches to prescribe exercise intensity where possible. Analysis comparing interventions with controls suggested the existence of intervention response heterogeneity; however, evidence was not obtained for a difference in response variability between THR and TRAD. Future primary research should be conducted with adequate power to investigate the scope of inter-individual differences in V O2max trainability, and if meaningful, the causative factors.© 2024. The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Meyler","Sports medicine (Auckland, N.Z.)"
